rainfall_1h,rainfall_24h,wind_speed,road_condition_score,traffic_level,incident_count,incident_severity,route_health_score,elevation,slope,historical_disruptions,distance_to_incident,disruption
2.11,20.59,10.01,60.5,2,0,0,36.9,276.7,24.4,0,999.0,0
13.55,43.42,3.68,54.4,3,0,0,29.0,667.0,10.5,1,999.0,0
5.93,26.34,5.56,90.9,3,0,0,42.9,332.1,22.1,1,999.0,0
4.11,24.56,5.86,70.5,4,0,0,37.7,857.8,36.4,2,999.0,1
0.76,21.11,3.65,24.9,3,0,0,33.9,1687.2,33.6,3,999.0,0
0.76,19.19,10.03,54.9,3,1,3,17.2,1537.2,16.6,3,10.3,1
0.27,8.53,5.09,38.0,1,1,3,5.0,1649.8,12.5,3,18.0,1
9.05,51.02,7.38,55.2,3,2,3,5.0,1495.7,10.4,0,27.1,1
4.14,84.45,5.9,54.2,3,0,0,18.2,818.9,21.2,1,999.0,0
5.54,53.32,11.84,63.7,4,2,1,5.0,749.0,6.1,4,17.2,0
0.09,17.96,11.3,46.8,4,2,2,5.0,485.8,21.8,2,6.4,1
15.77,85.15,6.98,32.3,1,0,0,8.4,2230.2,2.0,1,999.0,1
8.04,40.66,12.21,57.8,4,0,0,32.7,1660.4,13.7,1,999.0,1
1.07,7.91,18.1,82.3,1,0,0,60.4,607.0,9.9,6,999.0,0
0.9,16.4,1.27,69.8,2,0,0,47.2,584.2,37.0,2,999.0,0
0.91,53.61,5.66,45.4,3,0,0,27.9,2288.9,28.2,3,999.0,1
1.63,12.84,4.24,90.2,1,1,2,37.9,1969.7,14.6,1,0.9,0
3.35,22.03,5.3,88.4,3,0,0,55.1,1765.5,5.3,2,999.0,1
2.54,16.43,1.04,35.7,1,3,2,5.0,1146.8,20.6,3,27.5,1
1.55,14.13,1.22,23.0,2,0,0,19.3,791.8,9.7,2,999.0,0
4.26,35.64,0.47,75.6,3,3,2,5.0,2549.7,21.3,2,35.1,1
0.68,2.89,6.04,82.1,3,0,0,55.2,2103.2,32.1,4,999.0,1
1.55,29.2,5.92,92.6,4,1,2,29.3,889.4,24.2,1,7.3,0
2.05,25.05,19.68,86.7,3,0,0,51.4,2226.5,24.8,2,999.0,0
2.74,19.09,9.53,65.0,3,0,0,56.5,2009.4,21.5,3,999.0,0
6.92,77.41,12.02,59.8,2,2,2,5.0,877.8,35.4,1,32.4,1
1.0,6.85,58.43,22.1,1,0,0,17.9,1195.1,35.5,3,999.0,0
3.25,61.03,1.28,38.5,1,1,3,5.0,605.6,20.5,4,15.1,1
4.04,37.64,23.3,54.5,3,1,1,13.3,422.1,13.0,4,20.2,0
0.21,33.97,8.4,67.1,3,0,0,41.6,1920.8,18.5,2,999.0,0
4.21,45.3,6.4,61.8,2,0,0,37.1,805.4,8.7,1,999.0,1
0.84,29.78,5.73,75.7,3,1,3,21.5,2159.1,24.9,0,7.5,1
0.3,63.27,10.76,41.0,3,0,0,11.9,2589.2,20.0,3,999.0,1
13.38,47.33,6.44,62.4,1,1,1,13.1,337.7,5.7,2,30.0,0
15.17,143.64,3.57,26.6,2,2,1,5.0,1308.9,9.1,0,3.3,1
7.44,43.41,5.88,51.0,4,0,0,33.8,2115.1,19.3,8,999.0,1
1.63,19.27,10.95,76.3,3,0,0,59.5,2082.9,34.0,2,999.0,0
0.46,8.72,13.36,72.0,4,1,4,18.6,2012.0,22.4,0,10.5,1
5.19,52.37,24.74,94.3,1,0,0,46.4,1005.0,26.5,4,999.0,0
2.61,12.76,9.26,40.8,5,0,0,30.1,1261.9,14.2,4,999.0,0
0.59,16.4,18.75,57.4,2,0,0,38.1,1607.7,22.6,3,999.0,0
3.08,32.88,7.57,44.7,1,1,4,5.0,2536.2,18.1,4,6.2,0
0.16,22.61,8.29,53.0,5,0,0,40.4,952.5,25.7,3,999.0,1
10.8,104.94,8.0,84.3,2,0,0,27.7,2411.7,3.8,1,999.0,1
1.35,17.88,9.99,71.3,3,1,1,22.1,809.9,19.8,1,6.5,1
4.89,35.37,14.86,86.2,2,0,0,46.0,2573.2,12.7,3,999.0,0
1.68,10.65,6.25,35.3,3,0,0,37.1,1792.1,13.7,2,999.0,0
3.3,13.69,4.41,85.5,4,4,2,5.0,1285.6,36.6,3,25.8,1
3.56,27.97,15.6,24.5,2,1,1,7.5,1652.8,8.6,4,5.3,1
0.92,11.88,14.92,86.6,3,2,2,21.3,817.7,13.2,4,17.1,1
15.72,114.48,20.55,44.7,2,0,0,13.9,821.7,20.4,3,999.0,0
6.72,87.22,5.57,43.6,3,1,3,5.0,428.2,33.1,3,23.5,1
12.62,57.51,7.38,58.4,2,0,0,27.1,429.4,17.0,5,999.0,0
10.13,43.15,15.96,90.6,2,0,0,43.2,1001.8,28.8,1,999.0,0
4.1,39.38,6.2,23.6,2,0,0,20.0,2019.0,32.8,3,999.0,0
11.47,61.35,13.01,46.4,2,0,0,10.3,1639.5,13.2,1,999.0,1
0.42,10.47,7.59,84.2,4,2,4,5.8,401.3,16.1,2,26.1,1
0.98,20.12,10.72,49.7,2,0,0,35.3,2238.0,14.8,2,999.0,0
0.21,10.76,3.51,34.9,2,1,3,5.0,1623.4,32.0,2,12.2,1
1.77,18.17,9.18,51.9,2,1,2,9.2,2504.1,3.6,1,27.5,1
2.21,85.99,17.88,48.9,2,1,3,5.0,1792.0,13.1,2,26.1,0
1.42,41.8,14.1,88.7,3,0,0,48.5,579.2,26.5,4,999.0,0
7.94,50.79,4.19,77.1,5,1,2,16.0,1310.8,22.4,2,44.6,1
1.99,23.11,23.56,57.9,2,0,0,40.6,1738.8,17.7,1,999.0,0
1.48,19.08,17.22,94.1,4,0,0,57.1,219.2,21.4,1,999.0,0
3.52,15.21,3.65,54.9,3,4,4,5.0,186.5,9.1,2,24.4,1
0.68,10.93,5.91,24.4,2,0,0,28.3,467.0,17.5,4,999.0,0
7.29,39.98,3.82,39.7,3,0,0,18.6,766.6,20.1,2,999.0,1
0.35,11.77,10.91,52.7,3,2,4,5.0,1202.4,34.4,1,14.1,1
19.5,98.7,5.72,31.8,3,0,0,6.5,1344.2,11.4,2,999.0,0
6.66,46.98,1.58,91.1,4,1,2,19.9,488.2,33.2,3,20.7,1
1.0,57.15,8.27,77.5,2,0,0,31.5,1799.8,25.2,2,999.0,1
0.02,36.2,15.22,40.1,4,0,0,29.2,1610.5,2.7,1,999.0,1
7.6,43.53,9.3,64.3,3,0,0,35.3,871.4,28.1,7,999.0,1
5.52,41.27,12.28,74.1,2,0,0,48.8,183.5,3.3,1,999.0,0
5.88,51.31,9.9,90.6,3,0,0,43.6,340.2,37.9,1,999.0,0
6.64,30.05,13.73,86.1,2,1,2,21.6,1109.7,33.4,0,40.1,1
0.35,26.19,10.48,58.6,5,1,2,19.0,527.2,12.7,6,44.5,0
2.0,9.42,7.96,78.1,3,3,1,14.9,1073.2,11.3,1,5.7,0
0.55,26.76,9.23,62.2,1,0,0,40.8,1689.0,15.7,2,999.0,1
8.95,59.34,21.01,61.5,2,1,3,5.0,1490.7,14.8,2,6.3,1
4.39,60.06,12.72,28.6,3,1,2,5.0,716.4,15.4,3,30.8,1
1.81,53.73,4.18,29.5,1,3,2,5.0,992.4,13.5,3,17.1,1
0.3,3.32,9.13,59.7,1,0,0,51.7,1654.4,24.4,2,999.0,0
1.68,17.08,10.79,40.2,2,1,2,12.1,2259.1,7.9,3,18.5,0
1.77,69.33,7.78,21.6,2,2,3,5.0,1995.4,32.5,2,28.4,0
5.89,30.15,1.59,74.2,2,0,0,51.1,1505.8,31.2,6,999.0,1
4.57,51.58,4.52,22.4,2,2,1,5.0,1037.6,19.2,0,24.9,1
9.82,44.42,6.45,64.6,2,0,0,46.0,1044.4,32.7,6,999.0,1
2.88,16.82,25.21,60.4,3,1,4,5.0,2304.6,10.9,3,4.4,1
0.57,7.91,11.85,92.7,3,3,4,5.0,246.1,2.6,3,18.8,0
5.62,24.0,2.38,56.3,2,1,4,5.0,2570.6,24.3,3,24.8,1
6.44,59.1,8.13,24.8,2,0,0,12.7,1777.7,18.5,1,999.0,1
3.71,31.23,19.05,61.4,3,0,0,43.3,1818.8,22.4,4,999.0,0
6.63,57.19,5.66,83.1,1,3,2,5.0,243.1,34.4,0,40.8,1
3.06,22.43,16.33,94.8,1,0,0,57.2,1633.5,36.9,3,999.0,1
3.33,25.69,2.45,52.3,1,0,0,32.9,1337.7,24.8,3,999.0,1
2.51,38.94,0.4,44.0,4,1,1,11.6,409.2,29.5,2,32.4,1
0.12,59.96,17.83,88.0,3,0,0,41.3,830.9,5.0,2,999.0,0
0.51,11.21,6.22,34.3,3,0,0,32.6,2331.3,7.8,2,999.0,0
0.14,26.82,6.57,66.2,3,0,0,39.0,1497.5,28.4,1,999.0,1
4.55,56.66,9.84,50.4,3,0,0,23.1,1162.9,17.5,1,999.0,0
1.7,18.32,11.59,23.1,2,1,2,5.0,328.1,18.1,4,15.3,1
3.2,65.11,0.72,46.0,3,1,2,5.0,1899.6,13.1,4,21.0,1
10.72,73.49,5.34,39.9,1,1,1,5.0,1872.0,23.9,2,43.0,1
1.29,11.23,9.02,71.5,3,2,3,5.0,1654.4,8.7,1,14.4,1
2.38,44.48,11.57,91.2,3,2,2,14.7,1400.1,24.6,1,40.7,0
6.34,53.1,4.14,40.1,3,1,4,5.0,1212.8,8.3,5,10.7,1
1.17,33.65,7.51,80.9,2,0,0,50.4,1603.5,4.3,4,999.0,1
0.36,36.09,5.65,24.2,2,1,1,5.0,721.8,13.9,4,23.6,0
1.54,6.2,10.05,60.4,3,0,0,36.4,2456.1,10.3,3,999.0,0
0.79,38.16,17.44,25.3,3,1,3,5.0,1592.5,34.0,2,2.5,1
11.95,77.47,6.83,90.1,4,1,3,5.0,912.4,4.0,2,10.3,1
7.43,63.36,2.84,77.5,2,0,0,35.5,1251.7,8.4,1,999.0,0
4.52,38.54,5.12,69.3,3,2,3,5.0,2123.9,21.8,3,15.2,1
9.23,96.54,23.42,81.8,3,0,0,31.6,546.0,19.3,1,999.0,1
7.33,41.55,4.54,68.6,4,1,4,5.0,867.4,3.7,2,23.2,1
0.93,15.9,3.34,92.7,3,0,0,57.7,1814.8,2.3,2,999.0,0
10.04,51.67,6.54,73.5,3,3,3,5.0,922.9,37.6,3,40.3,1
3.49,30.76,8.13,89.3,3,0,0,52.0,2091.6,25.7,0,999.0,0
7.41,49.09,5.91,58.8,3,0,0,31.6,469.6,15.2,4,999.0,1
10.19,40.86,2.46,28.8,5,0,0,23.2,2018.6,18.9,1,999.0,1
1.72,18.01,10.7,59.6,1,0,0,37.4,317.5,11.6,0,999.0,0
0.52,8.81,10.06,29.5,1,0,0,37.6,180.9,14.4,1,999.0,0
1.16,33.65,13.42,64.4,4,1,4,5.0,2350.6,25.4,0,27.9,1
2.51,16.64,9.91,56.2,3,0,0,33.7,1574.3,33.8,1,999.0,0
7.67,33.53,22.26,66.7,3,0,0,40.9,1012.0,8.6,1,999.0,0
8.87,109.0,14.08,20.8,2,0,0,5.0,719.9,32.3,3,999.0,0
0.03,0.33,12.35,34.6,1,2,2,5.0,1661.4,6.4,1,20.0,0
3.22,109.6,17.83,56.8,3,1,2,5.0,1397.1,9.7,0,38.6,0
2.43,30.99,9.52,91.3,3,1,1,29.9,2579.4,3.3,2,2.7,0
1.13,33.9,7.62,48.8,2,1,1,15.4,2558.9,7.1,2,39.7,0
0.57,7.62,10.62,51.8,2,0,0,32.3,1705.8,35.0,3,999.0,1
1.85,15.01,1.51,73.6,4,0,0,50.9,1235.0,18.5,5,999.0,1
12.88,121.53,9.54,65.3,1,0,0,8.5,1353.3,4.8,2,999.0,1
1.76,37.93,8.12,42.4,4,2,1,5.0,1822.1,36.6,1,16.6,0
3.29,33.39,11.38,50.8,2,4,1,5.0,398.9,33.6,2,44.7,1
5.46,37.28,16.36,36.3,3,0,0,28.8,954.5,29.2,0,999.0,1
2.03,27.84,12.58,92.5,4,0,0,58.3,334.4,35.6,5,999.0,0
16.06,72.6,5.14,29.8,3,0,0,11.7,329.7,9.9,1,999.0,0
14.77,79.45,14.74,47.9,2,0,0,13.4,629.8,32.1,1,999.0,1
